Info,Close.30,Close,Close.1,Close.2,Close.3,Close.4,Close.5,Close.6,Close.7,Close.8,Close.9,Close.10,Close.11,Close.12,Close.13,Close.14,Close.15,Close.16,Close.17,Close.18,Close.19,Close.20,Close.21,Close.22,Close.23,Close.24,Close.25,Close.26,Close.27,Close.28,Close.29
issuer_name,Dax Index,Covestro,Adidas,Allianz,BASF,Bayer,Beiersdorf,BMW,Continental,Daimler,Deutsche B̦rse,Deutsche Bank,Delivery Hero,Deutsche Post,Deutsche Telekom,Deutsche Wohnen,E.ON,Fresenius Medical Care,Fresenius,HeidelbergCement,Henkel,Infineon Technologies,Linde,Merck,MTU Aero Engines,Munich Re,RWE,SAP,Siemens,Vonovia,Volkswagen Group
S&P 2021,***,***,***,AA,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
S&P 2020,***,***,A+,***,***,***,***,A,BBB,BBB+,***,***,***,***,BBB,***,***,***,***,***,***,BBB-,***,***,***,***,***,***,***,***,***
S&P 2019,***,***,***,***,***,***,***,A+,***,A-,***,***,***,***,***,***,***,BBB,BBB,***,***,***,A,***,***,***,***,***,***,***,***
S&P 2018,***,***,***,***,***,BBB,***,***,***,***,***,BBB+,***,***,BBB+,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
S&P 2017,***,***,***,***,***,A-,***,***,***,***,***,***,***,***,***,***,***,BBB-,BBB-,***,***,***,***,***,***,***,***,***,***,***,***
S&P 2016,***,***,***,***,A,***,***,***,BBB+,A,***,***,***,***,***,***,***,***,***,BBB-,***,BBB,***,***,***,***,***,***,***,***,***
Moody's 2021,***,Baa2,***,***,***,***,***,A2,Baa2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,A3
Moody's 2020,***,Baa2,A2,***,A3,Baa1,***,A2,Baa2,A3,***,A3,***,A3,Baa1,A3,***,***,***,Baa3,A2,***,***,***,Baa3,Aa3,Baa3,***,A1,***,A3
Moody's 2019,***,***,***,Aa3,A2,***,***,***,***,A3,***,***,***,***,***,***,***,***,***,***,***,***,***,Baa1,***,***,***,***,A1,***,***
Moody's 2018,***,Baa1,***,***,***,Baa1,***,***,***,***,***,A3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,A2,***,***,***
Moody's 2017,***,Baa2,***,Aa3,***,***,***,A1,***,A2,***,***,***,***,Baa1,***,Baa2,Baa3,***,***,***,***,***,***,***,***,Baa3,***,***,***,***
Moody's 2016,***,***,***,***,A1,***,***,A2,***,***,***,***,***,A3,***,***,***,***,Baa3,Baa3,A2,***,***,Baa1,Baa3,Aa3,***,***,***,***,***
DateS 2021,***,***,***,2021-04-01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
DateS 2020,***,***,2020-08-06,***,***,***,***,2020-03-26,2020-03-30,2020-03-26,***,***,***,***,2020-04-01,***,***,***,***,***,***,2020-04-16,***,***,***,***,***,***,***,***,***
DateS 2019,***,***,***,***,***,***,***,2019-11-13,***,2019-12-12,***,***,***,***,***,***,***,2019-05-23,2019-05-23,***,***,***,2019-01-29,***,***,***,***,***,***,***,***
DateS 2018,***,***,***,***,***,2018-06-04,***,***,***,***,***,2018-06-01,***,***,2018-04-29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
DateS 2017,***,***,***,***,***,2017-02-27,***,***,***,***,***,***,***,***,***,***,***,2017-07-12,2017-08-23,***,***,***,***,***,***,***,***,***,***,***,***
DateS 2016,***,***,***,***,2016-03-14,***,***,***,2016-05-11,2016-11-02,***,***,***,***,***,***,***,***,***,2016-11-09,***,2016-02-15,***,***,***,***,***,***,***,***,***
DateM 2021,***,2021-03-31,***,***,***,***,***,2021-03-26,2021-03-23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2021-03-26
DateM 2020,***,2020-06-02,2020-08-06,***,2020-06-25,2020-06-29,***,2020-03-25,2020-03-13,2020-06-02,***,2020-11-03,***,2020-05-13,2020-02-13,2020-12-18,***,***,***,2020-04-01,2020-09-09,***,***,***,2020-04-17,2020-05-06,2020-03-12,***,2020-08-05,***,2020-06-02
DateM 2019,***,***,***,2019-12-20,9/10/2019,***,***,***,***,13/12/2019,***,***,***,***,***,***,***,***,***,***,***,***,***,2019-04-16,***,***,***,***,2019-05-20,***,***
DateM 2018,***,2018-07-30,***,***,***,2018-06-04,***,***,***,***,***,2018-06-13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2018-11-13,***,***,***
DateM 2017,***,2017-12-19,***,2017-10-10,***,***,***,25/1/2017,***,2017-02-03,***,***,***,***,2017-04-20,***,2017-05-16,2017-05-11,***,***,***,***,***,***,***,***,2017-06-30,***,***,***,***
DateM 2016,***,***,***,***,2016-06-23,***,***,2016-09-16,***,***,***,***,***,2016-09-12,***,***,***,***,2016-09-16,2016-11-10,2016-09-08,***,***,2016-08-30,2016-04-26,2016-11-24,***,***,***,***,***
