Info,Close,Close.1,Close.2,Close.3,Close.4,Close.5,Close.6,Close.7,Close.8,Close.9,Close.10,Close.11,Close.12,Close.13,Close.14,Close.15,Close.16,Close.17,Close.18,Close.19,Close.20,Close.21,Close.22,Close.23,Close.24,Close.25,Close.26,Close.27,Close.28,Close.29,Close.30,Close.31,Close.32,Close.33,Close.34,Close.35,Close.36,Close.37,Close.38,Close.39,Close.40,Close.41,Close.42,Close.43,Close.44,Close.45,Close.46,Close.47,Close.48,Close.49,Close.50,Close.51,Close.52,Close.53,Close.54,Close.55,Close.56,Close.57,Close.58,Close.59,Close.60,Close.61,Close.62,Close.63,Close.64,Close.65,Close.66,Close.67,Close.68,Close.69,Close.70,Close.71,Close.72,Close.73,Close.74,Close.75,Close.76,Close.77,Close.78,Close.79,Close.80,Close.81,Close.82,Close.83,Close.84,Close.85,Close.86,Close.87,Close.88,Close.89,Close.90,Close.91,Close.92,Close.93,Close.94,Close.95,Close.96,Close.97,Close.98,Close.99,Close.100
DateS 2019,2019-03-05,***,***,2019-04-23,***,***,2019-07-22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2019-02-28,***,***,***,***,***,***,***,***,***,***,2019-06-13,***,***,***,***,***,***,***,***,***,***,***,***,***,2019-05-21,***,2019-10-21,***,***,2019-05-16,2019-04-12,***,***,***,***,***,***,2019-03-28,***,***,***,***,***,2019-08-22,***,***,***,***,***,***,***,2019-04-24,2019-08-23,***,***,***,***,***,***,***,***,***,2019-11-21,***,***,***,2019-08-01,***,***,***,***
DateS 2018,2018-02-28,***,***,2018-08-28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2018-06-12,***,***,***,***,***,***,2018-04-19,***,***,2018-10-09,***,***,2018-15-29,2018-12-06,2018-06-29,***,***,2018-07-04,2018-11-01,***,***,***,***,2018-06-20,***,***,***,***,***,***,***,***,***,2018-04-12,***,***,***,***,***,***,***,***,2018-03-15,***,***,***,***,2018-11-01,***,2018-02-12,***,***,***,***,***,***,***,***,***,***,2018-08-28,***,***,***,***,***,2018-12-20,***,***,***,***,***,***,***,***,***,***,***,***
DateS 2017,2017-08-11,***,***,***,***,***,***,***,***,2017-07-28,***,2017-01-03,2017-01-23,***,2017-10-13,***,***,2017-01-23,2017-11-23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2017-03-10,***,***,***,***,***,***,2017-07-13,***,***,***,***,***,***,***,***,***,***,***,***,2017-05-31,2017-05-24,***,***,***,***,***,***,***,***,***,***,***,***,2017-03-15,2017-09-27,***,***,***,2017-01-23,2017-03-08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2017-10-04,***,***,***,2017-07-25,***,***,***,***,***
DateS 2016,2016-12-01,***,***,2016-03-30,***,***,2016-09-09,***,***,***,2016-10-16,2016-07-07,***,***,2016-02-01,***,***,***,***,2016-02-22,***,***,2016-05-19,2016-02-25,***,2016-09-28,***,***,***,***,2016-02-24,***,***,2016-08-31,2016-02-14,***,***,***,***,***,***,***,2016-07-25,2016-11-01,***,***,***,***,***,***,***,***,2016-07-20,***,***,2016-05-16,***,***,2016-02-22,***,***,***,***,***,2016-09-07,2016-07-05,***,2016-03-03,***,2016-07-12,***,2016-08-30,***,2016-05-20,***,***,***,***,***,***,***,***,2016-05-12,***,***,***,***,***,***,2016-03-31,***,***,***,***,***,***,2016-03-23,2016-03-15,***,***,***
DateM 2021,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2021-03-23,***,***,***,***,***,2021-03-25,***,***,***,***,***,***,***,***,***,2021-02-15,***,***,***,2021-03-08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2021-01-19,***,***,***,2021-03-02,***,***,***,***,***,***,***,***,***,2021-03-12,2021-03-24,***,***,***,***,***,***,***,***,***,***,***,2021-02-25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
DateM 2020,2020-04-24,***,***,***,***,***,***,***,***,2020-12-15,***,2020-01-29,2020-02-18,***,2020-05-01,***,***,2020-12-03,***,2020-04-01,2020-09-09,***,***,***,***,***,***,***,***,2020-06-17,***,2020-05-19,2020-05-06,***,2020-05-05,***,2020-06-29,***,***,2020-10,2020-05-28 / 2020-09-07,***,***,***,2020-02-27,2020-03-19,***,***,***,***,2020-06-03,***,***,***,***,***,***,***,2020-08-14,2020-12-17,***,2020-03-25,***,***,***,***,***,2020-08-10,2020-03-03,2020-04-01,***,2020-04-24,***,***,2020-11-18,***,***,***,***,***,***,***,***,***,2020-07-06,***,2020-10-05,***,2020-09-08,***,***,2020-01-31,2020-05-22,***,2020-11-30,***,***,2020-04-07,***,***,***
DateM 2019,2019-03-04,***,***,***,***,***,2019-11-27,***,***,2019-04-02,***,2019-05-17,***,***,***,***,***,***,***,***,***,***,***,2019-03-26,***,***,***,2019-11-11,***,2019-03-15,***,***,***,2019-06-20,2019-05-13,***,2019-12-18,***,***,2019-12-18,***,***,***,2019-06-19,***,***,***,***,***,***,***,***,***,2019-01-29,2019-06-12,***,2019-10-17,***,2019-03-29,2019-11-12,***,***,***,***,2019-05-09,***,***,2019-03-04,***,2019-03-01,***,2019-02-06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2019-02-27,***,***,2019-06-25,***,***,2019-02-20,2019-02-26,***,***,***,***
DateM 2018,2018-08-03,***,***,2018-08-06,***,***,***,***,***,***,***,2018-04-04,***,***,2018-10-31,***,***,***,***,2018-10-08,***,***,***,***,***,***,***,***,***,***,2018-12-18,2018-10-09,***,***,2018-04-24,2018-03-28,***,***,***,***,***,***,***,***,***,2018-06-18,***,***,***,***,2018-12-20,***,2018-05-30,***,***,***,***,***,***,2018-04-04 / 2018-07-16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2018-03-29,***,***,***,***,***,***,***,2018-09-03,***,***,***,***,***,2018-12-20,***,***,***,***,***,***,***,***,***,***,***,***
DateM 2017,2017-09-04,***,***,***,***,***,2017-10-20,***,***,2017-07-28,2017-04-28,2017-09-27,2017-01-17,***,2017-05-03,***,***,2017-01-23,***,2017-06-08,***,***,***,2017-03-02,***,2017-05-02,***,***,***,***,***,***,***,2017-06-06,***,2017-07-27,***,***,***,2017-09-27,***,***,***,***,***,***,***,***,***,***,***,***,2017-06-19,***,2017-07-25,2017-09-17,***,***,***,***,***,2017-06-12,***,***,2017-11-15,***,***,2017-01-20,2017-06-13,2017-06-08,***,2017-02-27,***,***,***,***,***,***,***,***,***,***,2017-10-02,***,***,***,***,***,***,***,***,2017-12-19,***,***,2017-04-07,***,***,2017-08-08,***,***,***
DateM 2016,***,***,***,***,***,***,2016-09-09,***,***,***,***,2016-05-10 - 2016-12-10,2016-10-21,***,2016-03-03,***,***,***,***,2016-04-08,***,***,***,2016-06-15,***,2016-07-06,***,2016-12-15,***,***,***,***,***,2016-03-22,***,***,***,***,***,***,***,***,***,***,2016-05-19,***,***,***,***,***,***,***,2016-06-28,***,2016-03-17,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2016-04-08,***,2016-08-18,***,***,***,***,***,***,***,***,***,***,2016-06-28,***,2016-04-21,***,***,***,2016-10-03,***,***,2016-11-04,***,***,***,***,***,***,***,***,***
