,Market,Rating Agency,Stock,Date,Variation
0,DAX,Moody's,1COV.DE,2021-03-31,Decreased
2,DAX,Moody's,1COV.DE,2018-07-30,N/A
6,DAX,Moody's,BAS.DE,2020-06-25,Decreased
8,DAX,Moody's,BAS.DE,2019-10-09,N/A
9,DAX,Moody's,BAS.DE,2019-10-09,Decreased
10,DAX,Moody's,BAS.DE,2016-06-23,N/A
12,DAX,Moody's,BMW.DE,2021-03-26,Decreased
14,DAX,Moody's,BMW.DE,2017-01-25,N/A
18,DAX,Moody's,DAI.DE,2020-06-02,Decreased
20,DAX,Moody's,DAI.DE,2017-02-03,N/A
