,Unnamed: 0,Name,Time Slot,Period,T value,P value,Variations
45,45,6758.T-Moody's-2020-12-04,Civ,[-10; -2] and [+2; +10],0.1092211119706876,0.9145771944359118,Increased
46,46,6758.T-Moody's-2020-12-04,Mid,[-20;-11] and [+11; +20],0.8551071020640194,0.4051149479598166,Increased
47,47,6758.T-Moody's-2020-12-04,Mid,[-10; -2] and [+2; +10],-0.3168567756849682,0.7560278714439174,Increased
48,48,7201.T-Moody's-2017-01-26,Civ,[-20;-11] and [+11; +20],-0.5991938613721244,0.5574334593481446,
49,49,7201.T-Moody's-2017-01-26,Civ,[-10; -2] and [+2; +10],-0.8278345891231556,0.4216521568926279,
50,50,7201.T-Moody's-2017-01-26,Mid,[-20;-11] and [+11; +20],-2.1431927962775283,0.047814281011726,
51,51,7201.T-Moody's-2017-01-26,Mid,[-10; -2] and [+2; +10],1.306192026872129,0.212541037742301,
52,52,7201.T-Moody's-2019-05-24,Civ,[-20;-11] and [+11; +20],1.2909780452211217,0.2150533736739441,Decreased
53,53,7201.T-Moody's-2019-05-24,Civ,[-10; -2] and [+2; +10],-0.2296457511085053,0.8216883120332014,Decreased
54,54,7201.T-Moody's-2019-05-24,Mid,[-20;-11] and [+11; +20],1.1080097791780137,0.2842364957821296,Decreased
55,55,7201.T-Moody's-2019-05-24,Mid,[-10; -2] and [+2; +10],1.1189492824503804,0.2819934972154849,Decreased
56,56,7201.T-Moody's-2020-06-16,Civ,[-20;-11] and [+11; +20],-0.4717591059832129,0.6434680245088441,Decreased
57,57,7201.T-Moody's-2020-06-16,Civ,[-10; -2] and [+2; +10],-0.2730065753234137,0.7888339807422727,Decreased
58,58,7201.T-Moody's-2020-06-16,Mid,[-20;-11] and [+11; +20],-1.3685208364537544,0.1900593364923988,Decreased
59,59,7201.T-Moody's-2020-06-16,Mid,[-10; -2] and [+2; +10],-0.9284805107818122,0.3688906549214937,Decreased
60,60,9101.T-Moody's-2018-12-21,Civ,[-20;-11] and [+11; +20],,,
61,61,9101.T-Moody's-2018-12-21,Civ,[-10; -2] and [+2; +10],0.7621909064747812,0.4585954451569686,
62,62,9101.T-Moody's-2018-12-21,Mid,[-20;-11] and [+11; +20],1.104057255294285,0.2858963187634704,
63,63,9101.T-Moody's-2018-12-21,Mid,[-10; -2] and [+2; +10],0.6339693480919542,0.536322331531266,
64,64,9101.T-Moody's-2020-07-21,Civ,[-20;-11] and [+11; +20],-0.1670568367723459,0.8694184210458654,Increased
65,65,9101.T-Moody's-2020-07-21,Civ,[-10; -2] and [+2; +10],-0.4145294231060382,0.6847680704999028,Increased
66,66,9101.T-Moody's-2020-07-21,Mid,[-20;-11] and [+11; +20],0.8703825572551477,0.396962347287906,Increased
67,67,9101.T-Moody's-2020-07-21,Mid,[-10; -2] and [+2; +10],-0.3527154944330181,0.7295555594762645,Increased
68,68,9432.T-Moody's-2018-09-18,Civ,[-20;-11] and [+11; +20],1.5195325588977424,0.1481414582902574,
69,69,9432.T-Moody's-2018-09-18,Civ,[-10; -2] and [+2; +10],0.2467274907731183,0.8087002145593207,
70,70,9432.T-Moody's-2018-09-18,Mid,[-20;-11] and [+11; +20],0.4009385687182502,0.6937687431472302,
71,71,9432.T-Moody's-2018-09-18,Mid,[-10; -2] and [+2; +10],-1.6113296699593411,0.1294162165389244,
72,72,9432.T-Moody's-2019-06-21,Civ,[-20;-11] and [+11; +20],0.1763591063326025,0.8622247635936909,Decreased
73,73,9432.T-Moody's-2019-06-21,Civ,[-10; -2] and [+2; +10],1.251792219818861,0.2311569286807414,Decreased
74,74,9432.T-Moody's-2019-06-21,Mid,[-20;-11] and [+11; +20],-0.3796172945190202,0.7092208780368171,Decreased
