Date,Stock return,Market return
2018-08-02,0.0,-2.344128557748791
2018-08-03,2.2592743006687095,-2.344128557748791
2018-08-06,-0.8742923084691447,-2.344128557748791
2018-08-07,3.4684141226986474,-2.344128557748791
2018-08-08,-0.5529334091758791,-2.344128557748791
2018-08-09,-0.8687545812522374,-2.344128557748791
2018-08-10,-2.5706954319852673,-2.344128557748791
2018-08-13,0.7675749851816661,-2.344128557748791
2018-08-14,-2.1542511363889303,-2.344128557748791
2018-08-15,-6.203624303369284,-2.344128557748791
2018-08-16,0.051870791710661016,-2.344128557748791
2018-08-17,-0.5832776519410545,-2.344128557748791
2018-08-20,1.3037816422971915,-2.344128557748791
2018-08-21,0.5405352936915006,-2.344128557748791
2018-08-22,0.9088559333441808,-2.344128557748791
2018-08-23,-2.575158974619055,-2.344128557748791
2018-08-24,2.5390659150664505,-2.344128557748791
2018-08-28,3.2634902748491257,-2.344128557748791
2018-08-29,-1.8322636783939756,-2.344128557748791
2018-08-30,-1.3278215208783362,-2.344128557748791
2018-08-31,-2.1454906622573726,-2.344128557748791
2018-09-03,1.9071029709436753,-2.344128557748791
2018-09-04,-1.476754794318549,-2.344128557748791
2018-09-05,-1.1500227158524956,-2.344128557748791
2018-09-06,-1.8300663129420687,-2.344128557748791
2018-09-07,-1.7709725689206206,-2.344128557748791
2018-09-10,-0.7320061036804448,-2.344128557748791
2018-09-11,0.1638656827245546,-2.344128557748791
2018-09-12,1.2951630115936112,-2.344128557748791
2018-09-13,1.6554472238615343,-2.344128557748791
2018-09-14,2.277248629483683,-2.344128557748791
2018-09-17,0.09060739099133137,-2.344128557748791
2018-09-18,1.9141258036951638,-2.344128557748791
2018-09-19,5.050761838041611,-2.344128557748791
2018-09-20,2.4039624985435366,-2.344128557748791
2018-09-21,3.8574991963663896,-2.344128557748791
2018-09-24,-1.39709608499682,-2.344128557748791
2018-09-25,0.9561147558086402,-2.344128557748791
2018-09-26,-1.5746221758957437,-2.344128557748791
2018-09-27,-0.3593763161795048,-2.344128557748791
2018-09-28,0.2326864043465615,-2.344128557748791
2018-10-01,-0.42948049309009795,-2.344128557748791
2018-10-02,1.4921843815728226,-2.344128557748791
2018-10-03,0.8155345631817955,-2.344128557748791
2018-10-04,-0.6949997006419536,-2.344128557748791
2018-10-05,-4.245065296439596,-2.344128557748791
2018-10-08,-1.3419594510849149,-2.344128557748791
2018-10-09,2.7690094703677546,-2.344128557748791
2018-10-10,-3.4152724523896163,-2.344128557748791
2018-10-11,-0.893184974337775,-2.344128557748791
2018-10-12,3.9506193774083305,-2.344128557748791
2018-10-15,0.9976222986873488,-2.344128557748791
2018-10-16,-1.1994311524023702,-2.344128557748791
2018-10-17,-0.21423991937175946,-2.344128557748791
2018-10-18,-2.2542903592975927,-2.344128557748791
2018-10-19,-0.07321466397312523,-2.344128557748791
2018-10-22,1.5508545697858724,-2.344128557748791
2018-10-23,-2.477153127961138,-2.344128557748791
2018-10-24,-0.9617738628505602,-2.344128557748791
2018-10-25,0.946211079030581,-2.344128557748791
2018-10-26,-0.3330050146246019,-2.344128557748791
2018-10-29,0.9157295556963025,-2.344128557748791
2018-10-30,-0.5640706988058414,-2.344128557748791
2018-10-31,3.2926400926155925,-2.344128557748791
2018-11-01,2.650433470239221,-2.344128557748791
2018-11-02,-0.12794143163609348,-2.344128557748791
2018-11-05,-0.10480501390271321,-2.344128557748791
2018-11-06,-0.9093083460762932,-2.344128557748791
2018-11-07,1.9176514117474859,-2.344128557748791
2018-11-08,1.073531329102411,-2.344128557748791
2018-11-09,-3.620373375799167,-2.344128557748791
2018-11-12,-0.521393420610553,-2.344128557748791
2018-11-13,-1.298387887264153,-2.344128557748791
2018-11-14,-0.9775541218315462,-2.344128557748791
2018-11-15,2.595979095018749,-2.344128557748791
2018-11-16,1.1404096357880054,-2.344128557748791
2018-11-19,1.2450082099098103,-2.344128557748791
2018-11-20,-3.375869501026432,-2.344128557748791
2018-11-21,1.957022064231321,-2.344128557748791
2018-11-22,-3.2501223358423403,-2.344128557748791
2018-11-23,-4.527744342586523,-2.344128557748791
2018-11-26,-0.3824620295471187,-2.344128557748791
2018-11-27,-1.5229072492506939,-2.344128557748791
2018-11-28,1.3515324736257972,-2.344128557748791
2018-11-29,3.282468981624567,-2.344128557748791
2018-11-30,-2.780879824062592,-2.344128557748791
2018-12-03,6.972284471755938,-2.344128557748791
2018-12-04,-0.9191806859258231,-2.344128557748791
2018-12-05,-2.1084366722103822,-2.344128557748791
2018-12-06,-4.221536620583641,-2.344128557748791
2018-12-07,3.3024911301219073,-2.344128557748791
2018-12-10,-2.040052794743957,-2.344128557748791
2018-12-11,5.498415198953324,-2.344128557748791
2018-12-12,1.0712523603975026,-2.344128557748791
2018-12-13,1.9411665050415357,-2.344128557748791
2018-12-14,-1.0280394049656492,-2.344128557748791
2018-12-17,0.7790438034725449,-2.344128557748791
2018-12-18,0.2810935501454663,-2.344128557748791
2018-12-19,2.3709458990083307,-2.344128557748791
2018-12-20,-2.840848156336544,-2.344128557748791
2018-12-21,2.841706237713139,-2.344128557748791
2018-12-24,-0.7079196940469549,-2.344128557748791
2018-12-27,-1.437441509804353,-2.344128557748791
2018-12-28,2.3334440787270974,-2.344128557748791
2018-12-31,-0.36483748767929813,-2.344128557748791
2019-01-02,-2.139827490757431,-2.344128557748791
2019-01-03,-2.093077647687083,-2.344128557748791
2019-01-04,4.884746358503416,-2.344128557748791
2019-01-07,0.8198578464342946,-2.344128557748791
2019-01-08,-0.8922515387957703,-2.344128557748791
