Date,Stock return,Market return
2020-02-17,0.0,-0.5630547281758231
2020-02-18,-0.7053879633798589,-0.5630547281758231
2020-02-19,1.3301088270858523,-0.5630547281758231
2020-02-20,-0.2535799522673031,-0.5630547281758231
2020-02-21,0.2691790040376851,-0.5630547281758231
2020-02-24,-3.4601043997017156,-0.5630547281758231
2020-02-25,-1.2668005561563418,-0.5630547281758231
2020-02-26,0.7510561727429197,-0.5630547281758231
2020-02-27,-1.7704612517471658,-0.5630547281758231
2020-02-28,-3.1620553359683794,-0.5630547281758231
2020-03-02,-2.0244897959183676,-0.5630547281758231
2020-03-03,3.2994500916513916,-0.5630547281758231
2020-03-04,3.3715115341184063,-0.5630547281758231
2020-03-05,1.2640449438202246,-0.5630547281758231
2020-03-06,-4.268762521189705,-0.5630547281758231
2020-03-09,-4.104958145524791,-0.5630547281758231
2020-03-10,-3.0048682222595264,-0.5630547281758231
2020-03-11,-0.20768431983385255,-0.5630547281758231
2020-03-12,-10.336455081512314,-0.5630547281758231
2020-03-13,3.6170212765957444,-0.5630547281758231
2020-03-16,-1.904050774687325,-0.5630547281758231
2020-03-17,3.501427212178877,-0.5630547281758231
2020-03-18,-0.7170435741864313,-0.5630547281758231
2020-03-19,-2.574074074074074,-0.5630547281758231
2020-03-20,-3.4214027751378064,-0.5630547281758231
2020-03-23,-6.238929344617201,-0.5630547281758231
2020-03-24,7.598656591099916,-0.5630547281758231
2020-03-25,0.5657432696059306,-0.5630547281758231
2020-03-26,6.052376333656644,-0.5630547281758231
2020-03-27,-5.32284616791659,-0.5630547281758231
2020-03-30,1.8160741885625966,-0.5630547281758231
2020-03-31,4.705882352941177,-0.5630547281758231
2020-04-01,3.5338890902500903,-0.5630547281758231
2020-04-02,3.1332049711185013,-0.5630547281758231
2020-04-03,-0.20366598778004072,-0.5630547281758231
2020-04-06,0.7482993197278911,-0.5630547281758231
2020-04-07,-0.6920999324780553,-0.5630547281758231
2020-04-08,-0.37395886452490223,-0.5630547281758231
2020-04-09,3.0711482682136153,-0.5630547281758231
2020-04-14,-3.3769243502731334,-0.5630547281758231
2020-04-15,0.11992461881103307,-0.5630547281758231
2020-04-16,1.2320328542094456,-0.5630547281758231
2020-04-17,-0.49019607843137253,-0.5630547281758231
2020-04-20,1.053167997282147,-0.5630547281758231
2020-04-21,-3.479576399394856,-0.5630547281758231
2020-04-22,0.7662835249042145,-0.5630547281758231
2020-04-23,1.6246111303145523,-0.5630547281758231
2020-04-24,0.5102040816326531,-0.5630547281758231
2020-04-27,0.5922165820642978,-0.5630547281758231
2020-04-28,5.28174936921783,-0.5630547281758231
2020-04-29,0.5751717526761463,-0.5630547281758231
2020-04-30,-2.128673550436855,-0.5630547281758231
2020-05-01,-4.3824054536601205,-0.5630547281758231
2020-05-04,-0.08487523340689188,-0.5630547281758231
2020-05-05,2.1916411824668707,-0.5630547281758231
2020-05-06,-1.2136325852036576,-0.5630547281758231
2020-05-07,0.2019522046449007,-0.5630547281758231
2020-05-11,2.4857238831037956,-0.5630547281758231
2020-05-12,3.310390036053753,-0.5630547281758231
2020-05-13,-2.982233502538071,-0.5630547281758231
2020-05-14,-2.2400261608894705,-0.5630547281758231
2020-05-15,2.007024586051179,-0.5630547281758231
2020-05-18,1.557632398753894,-0.5630547281758231
2020-05-19,-1.646754924120116,-0.5630547281758231
2020-05-20,1.4445173998686802,-0.5630547281758231
2020-05-21,1.0032362459546926,-0.5630547281758231
2020-05-22,0.6888817686638898,-0.5630547281758231
2020-05-26,1.431980906921241,-0.5630547281758231
2020-05-27,2.7450980392156863,-0.5630547281758231
2020-05-28,-0.04580152671755725,-0.5630547281758231
2020-05-29,-2.5660607912020774,-0.5630547281758231
2020-06-01,1.0816742436118514,-0.5630547281758231
2020-06-02,-0.6823821339950372,-0.5630547281758231
2020-06-03,1.2336039975015616,-0.5630547281758231
2020-06-04,-1.280271479253432,-0.5630547281758231
2020-06-05,-0.546875,-0.5630547281758231
2020-06-08,-1.8853102906520032,-0.5630547281758231
2020-06-09,-3.090472377902322,-0.5630547281758231
2020-06-10,3.238598810310641,-0.5630547281758231
2020-06-11,-3.9532650448143407,-0.5630547281758231
2020-06-12,-0.016663889351774704,-0.5630547281758231
2020-06-15,-0.35000000000000003,-0.5630547281758231
2020-06-16,4.716507777220271,-0.5630547281758231
2020-06-17,0.12777511579619868,-0.5630547281758231
2020-06-18,0.0319030148349019,-0.5630547281758231
2020-06-19,1.1162494020092488,-0.5630547281758231
2020-06-22,-0.741208011354676,-0.5630547281758231
2020-06-23,0.6196377502383222,-0.5630547281758231
2020-06-24,-3.521237959892626,-0.5630547281758231
2020-06-25,0.7364975450081833,-0.5630547281758231
2020-06-26,1.0398050365556457,-0.5630547281758231
2020-06-29,0.9969448464383341,-0.5630547281758231
2020-06-30,-1.1463142811654194,-0.5630547281758231
2020-07-01,0.5798035110323724,-0.5630547281758231
2020-07-02,0.14411529223378705,-0.5630547281758231
2020-07-03,-2.1266389510713144,-0.5630547281758231
2020-07-06,2.3198823721614117,-0.5630547281758231
2020-07-07,-2.1235829474692642,-0.5630547281758231
2020-07-08,-0.5383360522022839,-0.5630547281758231
2020-07-09,-4.21518779727735,-0.5630547281758231
2020-07-10,-1.4383561643835616,-0.5630547281758231
2020-07-13,0.7644197359277276,-0.5630547281758231
2020-07-14,0.08620689655172414,-0.5630547281758231
2020-07-15,-1.102497846683893,-0.5630547281758231
2020-07-16,-2.577948092666783,-0.5630547281758231
2020-07-17,-0.41122832111568036,-0.5630547281758231
